Name,Address,Rating,Business Status,Place ID,Website,Type
Camino Del Sur Bungalow,"934 Camino Del Sur, Isla Vista",,OPERATIONAL,ChIJt1OvN0M_6YARQF-ugwdrfQM,http://www.beachsidepartners.com/,"point_of_interest, establishment"
Camio Del Sur Penthouse,"930 Camino Del Sur, Isla Vista",,OPERATIONAL,ChIJKUsoMUM_6YARsMPIeiRnMYs,http://www.beachsidepartners.com/,"point_of_interest, establishment"
The Beachwalk,"6556 El Nido Lane, Isla Vista",5.0,OPERATIONAL,ChIJsReChGk_6YARnFpjlljl208,N/A,"point_of_interest, establishment"
Island View Outfitters,"6565 Trigo Road Suite A, Goleta",4.8,OPERATIONAL,ChIJWX850Gk_6YARjtsOrY8id6o,http://islandviewoutfitters.com/,"clothing_store, store, point_of_interest, establishment"
UC Santa Barbara Family Vacation Center,"878 Ocean Road, Santa Barbara",4.8,OPERATIONAL,ChIJWWpATGk_6YAR82zp6nQk1wk,http://www.familyvacationcenter.com/,"real_estate_agency, travel_agency, point_of_interest, establishment"
Tipi Village,Isla Vista,2.3,OPERATIONAL,ChIJqVKoqFw_6YAR_nl8-mqrYaI,http://ivparks.org/,"park, point_of_interest, establishment"
Little Acorn Park,"901 El Embarcadero Road, Isla Vista",4.6,OPERATIONAL,ChIJRUoqvGk_6YARxIDVrK3hx1E,http://ivparks.org/,"park, point_of_interest, establishment"
University of California-Santa Barbara,University of California-Santa Barbara,,,ChIJk1ciSV0_6YARvdRIWKOdtX0,N/A,"locality, political"
The Laguna Apartments,"6531 Sabado Tarde Road, Isla Vista",5.0,OPERATIONAL,ChIJEdc5eGk_6YAREQTjlfZ7pd8,N/A,"point_of_interest, establishment"
University United Methodist Church of Isla Vista,"892 Camino Del Sur, Goleta",5.0,OPERATIONAL,ChIJoV5vzFw_6YARbknjuKRm7PA,http://islavistamethodist.com/,"church, place_of_worship, point_of_interest, establishment"
Keller Construction Company,"6796 Pasado Road, Goleta",5.0,OPERATIONAL,ChIJp7erM1s_6YARunqiik5Uidk,N/A,"point_of_interest, establishment"
7-Eleven,"6545 Trigo Road, Isla Vista",4.2,OPERATIONAL,ChIJuVC-o2k_6YAR_NRLy0N5u8E,https://www.7-eleven.com/locations/ca/isla-vista/6545-trigo-rd-36772,"convenience_store, point_of_interest, food, store, establishment"
ICON,"6545 Trigo Road, Goleta",4.1,OPERATIONAL,ChIJFa5Ip2k_6YARElNaAbA13l0,https://www.iconapts.com/,"point_of_interest, establishment"
Bill's Bus,"6575 Seville Road, Goleta",4.6,OPERATIONAL,ChIJiYwSLWg_6YARduaBw5f5DP4,https://bills-bus.com/isla-vista-service,"point_of_interest, establishment"
Cienaga House,"878 Ocean Road, Santa Barbara",5.0,OPERATIONAL,ChIJy0EU8ms_6YARDaA2Yq280eg,N/A,"university, point_of_interest, establishment"
Isla Vista Recreation and Park District,"961 Embarcadero del Mar, Goleta",2.2,OPERATIONAL,ChIJm41cr2k_6YARCYtCOENkUbU,http://www.ivparks.org/parks/descriptions/#pardall_gardens,"point_of_interest, establishment"
Dean Brunner Rental,"6778 Pasado Road, Isla Vista",2.3,OPERATIONAL,ChIJVRWDSls_6YARVs8_q-S5vfc,https://www.deanbrunner.com/,"real_estate_agency, point_of_interest, establishment"
International Food Market,"6551 Trigo Road #3, Isla Vista",3.1,OPERATIONAL,ChIJF6QUx2k_6YAR8UwCJJManoM,N/A,"grocery_or_supermarket, point_of_interest, food, store, establishment"
Capri at Isla Vista Apartments,"6598 Seville Road, Isla Vista",4.3,OPERATIONAL,ChIJs5oxJmg_6YARhnR7ZaC25d0,https://www.capriiv.com/,"point_of_interest, establishment"
OceanAirLand,"6876 Del Playa Drive, Goleta",5.0,CLOSED_TEMPORARILY,ChIJm68EfT4_6YARYU_VkLrJL-A,N/A,"point_of_interest, establishment"
Devereux Foundation,"6980 Falberg Way, Goleta",4.3,OPERATIONAL,ChIJTS7OilE_6YARIO9ESmBBsLk,http://www.devereuxca.org/,"point_of_interest, health, establishment"
Neighborhood Surfboard Rack!,"6894 Del Playa Drive, Goleta",,OPERATIONAL,ChIJzVBhewA_6YARKgu3CTzr7HU,N/A,"tourist_attraction, point_of_interest, establishment"
Isla Vista Screen Printing,"6565 Trigo Road suite a, Isla Vista",4.7,OPERATIONAL,ChIJ53cj0Gk_6YARRCTCup3cKOE,http://theivsp.com/,"clothing_store, point_of_interest, store, establishment"
Dolores House Co-op,"6719 Sabado Tarde Road, Isla Vista",4.6,OPERATIONAL,ChIJWZ6zcEM_6YARnZKrB20BRyg,http://sbcoop.org/housing.html#dolores,"point_of_interest, establishment"
Jesus Burgers,"6686 Del Playa Drive, Goleta",5.0,OPERATIONAL,ChIJ3ZNfrMg_6YARHYrfpNSd_mU,https://www.jesusburgers.org/,"place_of_worship, point_of_interest, establishment"
Isla Vista House of Prayer (IVHOP),"6686 Del Playa Drive, Goleta",3.7,OPERATIONAL,ChIJUdxIpkM_6YARHiWqe4Dp9qU,http://islavistachurch.org/,"place_of_worship, point_of_interest, establishment"
The Baby Blanket Store,"6795 Trigo Road B, Isla Vista",,CLOSED_TEMPORARILY,ChIJCR9V6r0_6YAR7xmJCTNozts,N/A,"clothing_store, point_of_interest, store, establishment"
The Slack Shack,"6799 Trigo Road, Goleta",,OPERATIONAL,ChIJA8VExUQ_6YAR6IoBWiizoek,N/A,"point_of_interest, health, establishment"
IV Bagel Cafe,"6551 Trigo Road #1, Isla Vista",4.3,OPERATIONAL,ChIJF6QUx2k_6YARc9mkWr5O0ro,https://ivbagelcafe.com/,"bakery, store, restaurant, food, point_of_interest, establishment"
St. George Youth Center YMCA,"889 Camino Del Sur, Isla Vista",,OPERATIONAL,ChIJyUfXu1w_6YARULtNY58S3X0,https://www.ciymca.org/locations/st-george-youth-center-ymca,"point_of_interest, establishment"
West Cottages Rental,Santa Barbara,4.0,OPERATIONAL,ChIJV_ti4fw_6YARe_ZYY-glsiA,https://www.conferences.ucsb.edu/west-cottages-rental,"lodging, point_of_interest, establishment"
Tri-County Web Development,"6549 Del Playa Drive, Goleta",,OPERATIONAL,ChIJN-oPX9A_6YARPFVmQALR1YI,N/A,"point_of_interest, establishment"
Isla Vista Teen Center,"889 Camino Del Sur, Goleta",5.0,OPERATIONAL,ChIJyUfXu1w_6YARLM09Dl0_Nwc,N/A,"point_of_interest, establishment"
West Campus Faculty Housing,Santa Barbara,5.0,OPERATIONAL,ChIJ1404b1A_6YARdSOPzlKOtAE,https://www.housing.ucsb.edu/faculty-staff/faculty-housing,"local_government_office, point_of_interest, establishment"
Trigo-Pasado Rock Wall,"Trigo Road, Isla Vista",5.0,OPERATIONAL,ChIJ9UD58UI_6YAR8RWp72cNK34,N/A,"point_of_interest, establishment"
Sea Breeze,"6567 Sabado Tarde Road, Goleta",,OPERATIONAL,ChIJt9w_wmk_6YAR21-l16e4IDA,N/A,"point_of_interest, establishment"
Mission Isla Vista Base,"6737 Sueno Road, Goleta",,OPERATIONAL,ChIJ3VNAQt0_6YARpY48uZOYALw,N/A,"place_of_worship, point_of_interest, establishment"
Seaview,"6565 Sabado Tarde Road, Goleta",,OPERATIONAL,ChIJbRid6mk_6YARu-OpgSOWG4I,N/A,"point_of_interest, establishment"
The Koto Group,"El Embarcadero Road, Goleta",3.1,OPERATIONAL,ChIJUzHJmmk_6YARTVh4l1WAG4o,https://www.kotogroup.com/,"point_of_interest, establishment"
Duke's Boxing & Fitness,"6565 Trigo Road, Isla Vista",5.0,OPERATIONAL,ChIJa4grzmk_6YARil5JdOTUh6o,https://dukesboxingfitness.com/,"gym, health, point_of_interest, establishment"
Devereux Ranch School,"6980 Falberg Way, Goleta",4.0,OPERATIONAL,ChIJ8ZKEI1I_6YARRD4FhFn0AP4,https://www.devereux.org/,"point_of_interest, establishment"
Art by Lilo,"6681 Sueno Road, Goleta",,OPERATIONAL,ChIJx34hJr8_6YARoM-2m6KCyBw,N/A,"point_of_interest, establishment"
Solis Isla Vista,"6563 Trigo Road, Goleta",4.8,OPERATIONAL,ChIJLx51z2k_6YAR8hevgiInm6M,https://solisislavista.com/?utm_medium=organic&utm_source=google&utm_campaign=gmb-website-button,"point_of_interest, establishment"
Embarcadero & Sabado Tarde,United States,,OPERATIONAL,ChIJvYoVvWk_6YARoJW0dHmAqpI,N/A,"transit_station, point_of_interest, establishment"
The Chalet,"Seville Road, Isla Vista",,OPERATIONAL,ChIJMYzigkI_6YARqtpkR05S81g,N/A,"point_of_interest, establishment"
Isla Vista Apartments,"6508 Del Playa Drive, Goleta",5.0,OPERATIONAL,ChIJkX-xeEI_6YAR6JClO1zFTHg,https://www.islavistaapartment.com/,"point_of_interest, establishment"
Western Union,"6545 Trigo Road, Isla Vista",1.0,OPERATIONAL,ChIJdcsCBbc_6YARrt11Lvn_Ta4,https://www.westernunion.com/?utm_source=googlemaps&utm_medium=pml-yext,"finance, point_of_interest, establishment"
Tecolote House,"University of California, Santa Barbara, Manzanita Village 877, Santa Barbara",,CLOSED_TEMPORARILY,ChIJj4xWbTo_6YAR_J5yUVSX9Xc,N/A,"point_of_interest, establishment"
Santa Barbara,Santa Barbara,,,ChIJ1YMtb8cU6YARSHa612Q60cg,http://www.santabarbaraca.gov/,"locality, political"
"Art, Design & Architecture Museum","552 University Road, Santa Barbara",4.3,OPERATIONAL,ChIJ731YUg1A6YARAqrtGmpCKM0,http://www.museum.ucsb.edu/,"tourist_attraction, museum, point_of_interest, establishment"
San Nicolas Residence Hall,Santa Barbara,4.4,OPERATIONAL,ChIJbZ9QfXI_6YARCOKbrGLkR-s,https://www.housing.ucsb.edu/housing-options/options-filter/san-nicolas,"point_of_interest, establishment"
I.V. Theater,"960 Embarcadero del Norte, Isla Vista",4.4,OPERATIONAL,ChIJS4wWDmk_6YAR_kNGbyrx1Bg,https://events.ucsb.edu/venue/isla-vista-theater-theater-1/,"movie_theater, point_of_interest, establishment"
SBNC: Isla Vista Neighborhood Clinic,"970 Embarcadero del Mar, Goleta",3.3,OPERATIONAL,ChIJRW4ds2k_6YARmOxW7qRHjxA,https://sbclinics.org/clinics/isla-vista-clinic/,"health, point_of_interest, establishment"
Woodstock's Pizza Isla Vista,"928 Embarcadero del Norte, Isla Vista",4.4,OPERATIONAL,ChIJy2xL-Wg_6YARkT8-zjlOE0Q,https://woodstocksiv.com/,"restaurant, meal_delivery, bar, liquor_store, store, food, point_of_interest, establishment"
The Loop Apartments,"6533 Trigo Road, Isla Vista",4.0,OPERATIONAL,ChIJVR54oGk_6YARrUcmDLrznzQ,https://www.theloopiv.com/?y_source=1_MTMxMDg4NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"real_estate_agency, point_of_interest, establishment"
UCSB Summer Inn,Santa Barbara,4.3,OPERATIONAL,ChIJR3EaBWw_6YARrYBiy1zwWkE,https://www.alumni.ucsb.edu/vacation/summer-inn,"lodging, point_of_interest, establishment"
DEL PLAYA APARTMENTS,"6508 Del Playa Drive, Isla Vista",5.0,OPERATIONAL,ChIJJ4x86Gs_6YARCs61PDoE5XQ,http://www.islavistaapartment.com/,"point_of_interest, establishment"
"Biomolecular Science and Engineering Program, UC Santa Barbara","University Of California, Mesa Road, Santa Barbara",,OPERATIONAL,ChIJy08TM3I_6YARxNBxUuyjxC8,http://www.bmse.ucsb.edu/,"point_of_interest, establishment"
UC Santa Barbara Family Vacation Center,"878 Ocean Road, Santa Barbara",4.8,OPERATIONAL,ChIJWWpATGk_6YAR82zp6nQk1wk,http://www.familyvacationcenter.com/,"real_estate_agency, travel_agency, point_of_interest, establishment"
Isla Vista Food Cooperative,"6575 Seville Road, Isla Vista",4.6,OPERATIONAL,ChIJf25rLmg_6YAR7hBeO1-Idv8,https://www.islavistafood.coop/,"grocery_or_supermarket, store, food, point_of_interest, establishment"
Super Cuca's,"6527 Madrid Road, Isla Vista",4.4,OPERATIONAL,ChIJ2SgVomk_6YARLCx-URHSf10,https://supercucas3.com/,"restaurant, food, point_of_interest, establishment"
UCSB Office of Technology & Industry Alliances,"342 Lagoon Road, Santa Barbara",5.0,OPERATIONAL,ChIJzV7EKXM_6YAR4N4HYujaC40,http://tia.ucsb.edu/,"university, point_of_interest, establishment"
Pendola House,"890, Santa Barbara",5.0,OPERATIONAL,ChIJLV9UDmw_6YARD2PDPj0BQM0,N/A,"point_of_interest, establishment"
Cienaga House,"878 Ocean Road, Santa Barbara",5.0,OPERATIONAL,ChIJy0EU8ms_6YARDaA2Yq280eg,N/A,"university, point_of_interest, establishment"
Condor House,"883, Santa Barbara",,OPERATIONAL,ChIJ7-eqc2w_6YARwMXY7HqHBgM,N/A,"point_of_interest, establishment"
Tepusquet House,"886, Santa Barbara",5.0,OPERATIONAL,ChIJEeBOaWw_6YARqVIjsGywxuo,N/A,"point_of_interest, establishment"
Montecito House,"885, Santa Barbara",,OPERATIONAL,ChIJ3eTJbGw_6YARD05oqPpT2dk,N/A,"point_of_interest, establishment"
Isla Vista,Isla Vista,,,ChIJM78eTnxA6YARSvMiQcHZwc4,N/A,"locality, political"
La Cumbre House,"884, Santa Barbara",1.0,OPERATIONAL,ChIJ98kWDWw_6YAR3w3AYrWXprs,N/A,"point_of_interest, establishment"
Camuesa House,"889, Santa Barbara",5.0,OPERATIONAL,ChIJ17DTE2w_6YARuXmuJI5UmeI,N/A,"point_of_interest, establishment"
Figueroa House,"893, Santa Barbara",,OPERATIONAL,ChIJAQa7Hmw_6YAR4Sc6wAix_xI,N/A,"point_of_interest, establishment"
Madulce House,"892, Santa Barbara",,OPERATIONAL,ChIJDfmwHGw_6YAREcxICJncqjk,N/A,"point_of_interest, establishment"
Cuyama House,"891, Santa Barbara",4.0,OPERATIONAL,ChIJUx6rBWw_6YARajAmKn9TVkQ,N/A,"point_of_interest, establishment"
The Laguna Apartments,"6531 Sabado Tarde Road, Isla Vista",5.0,OPERATIONAL,ChIJEdc5eGk_6YAREQTjlfZ7pd8,N/A,"point_of_interest, establishment"
Graduate Student Association Lounge,"494 UCEN Road, Isla Vista",4.7,OPERATIONAL,ChIJ26EGB3I_6YARwhFN-Uzk8hQ,N/A,"point_of_interest, establishment"
The Beachwalk,"6556 El Nido Lane, Isla Vista",5.0,OPERATIONAL,ChIJsReChGk_6YARnFpjlljl208,N/A,"point_of_interest, establishment"
AS Program Board Office,"558 UCEN Road, Santa Barbara",5.0,OPERATIONAL,ChIJP_VFAXI_6YARBsWXQkNExik,http://aspb.as.ucsb.edu/,"point_of_interest, establishment"
Root Burger,"558 University Road, Santa Barbara",4.3,OPERATIONAL,ChIJoShe4m0_6YARcec92ghzlTQ,https://dining.ucsb.edu/eateries-markets,"restaurant, food, point_of_interest, establishment"
Starbucks,"1180 University center, Santa Barbara",3.2,OPERATIONAL,ChIJJ_b2CW4_6YAR4weZ5G1TZeU,https://www.starbucks.com/store-locator/store/1017308,"cafe, store, food, point_of_interest, establishment"
Master Karol's Tai Chi Chuan Club @ UCSB - Master Karol's Tai Chi Chuan Academy,"Lawn by Lagoon, UCSB Faculty Club, Goleta",,OPERATIONAL,ChIJM-GskG4_6YARDgnrACO_-VA,http://www.masterkaroltaichiacademy.com/,"school, health, point_of_interest, establishment"
SBprinter.com,"558 UCEN Road #2345, Santa Barbara",4.9,OPERATIONAL,ChIJo5utXWg_6YARpz0F9_6ktd8,http://sbprinter.com/,"store, point_of_interest, establishment"
Seaside,"6522 Sabado Tarde Road, Isla Vista",,OPERATIONAL,ChIJP2TzcWk_6YARHJBRwSBIF4I,N/A,"point_of_interest, establishment"
Ucsb Computer Center,"UCEN Road, Santa Barbara",3.0,OPERATIONAL,ChIJVVVVlWA_6YARYCjure9rO4M,N/A,"electronics_store, store, point_of_interest, establishment"
Sky Deck,"6533 Trigo Road, Goleta",,OPERATIONAL,ChIJrVUzC2k_6YARj32oGepzJ64,http://www.theloopiv.com/,"night_club, bar, point_of_interest, establishment"
Lotte Lehmann Concert Hall (LLCH),Santa Barbara,4.2,OPERATIONAL,ChIJM-hXBW4_6YARFQa-8PdgX1U,https://events.ucsb.edu/venue/lotte-lehmann-concert-hall/,"point_of_interest, establishment"
Santa Barbara County Coroner,"6504 Trigo Road, Isla Vista",,OPERATIONAL,ChIJh-ClP2k_6YARjBMHDd314gM,http://countyofsb.org/,"local_government_office, point_of_interest, establishment"
7-Eleven,"6545 Trigo Road, Isla Vista",4.2,OPERATIONAL,ChIJuVC-o2k_6YAR_NRLy0N5u8E,https://www.7-eleven.com/locations/ca/isla-vista/6545-trigo-rd-36772,"convenience_store, store, food, point_of_interest, establishment"
ICON,"6545 Trigo Road, Goleta",4.1,OPERATIONAL,ChIJFa5Ip2k_6YARElNaAbA13l0,https://www.iconapts.com/,"point_of_interest, establishment"
UCSB mStudio,"Building 534, room 2336, Santa Barbara",5.0,OPERATIONAL,ChIJO6j6Y24_6YARkaZKU9eakMk,https://www.arts.ucsb.edu/mstudio/,"point_of_interest, establishment"
Amazon Hub Locker+ (Isla Vista),"6533 Trigo Road suite c, Isla Vista",4.5,OPERATIONAL,ChIJrVUzC2k_6YARt3DCe_jn72A,https://a.co/1wZXaPU,"point_of_interest, establishment"
Little Acorn Park,"901 El Embarcadero Road, Isla Vista",4.6,OPERATIONAL,ChIJRUoqvGk_6YARxIDVrK3hx1E,http://ivparks.org/,"park, point_of_interest, establishment"
Storke Tower,Santa Barbara,4.6,OPERATIONAL,ChIJzU-Oam4_6YARKvK6Q5QAKJg,N/A,"landmark, point_of_interest, establishment"
KCSB-FM,"1055 Storke Communications Building, Santa Barbara",5.0,OPERATIONAL,ChIJxxELGmg_6YARTtpuV7yIcPo,http://www.kcsb.org/,"point_of_interest, establishment"
Talking Tree Therapy,"University of California, Santa Barbara, Student Communications Building, Santa Barbara",5.0,OPERATIONAL,ChIJ-5BiFW4_6YARXFWKSsMBKm8,http://www.talkingtreetherapysb.com/,"point_of_interest, health, establishment"
Embarcadero Hall,"935 Embarcadero del Norte, Isla Vista",4.2,OPERATIONAL,ChIJ7ZftVGg_6YARJGEmmj89ZOM,https://id.ucsb.edu/events-services/embarcadero-hall/overview,"point_of_interest, establishment"
Spudnuts Donuts Isla Vista,"6530 Seville Road UNIT 101, Isla Vista",4.4,OPERATIONAL,ChIJTX9ZA2k_6YAR2TwItR2YKm4,http://spudnutsdonutssb.com/,"bakery, meal_takeaway, restaurant, point_of_interest, food, store, establishment"
UCSB Marine Science Institute,Santa Barbara,5.0,OPERATIONAL,ChIJreRb5nM_6YARiZpfRvV_Le0,http://www.msi.ucsb.edu/,"point_of_interest, establishment"
Campus Icon UCSB LLC,"6522 Seville Road, Goleta",2.3,OPERATIONAL,ChIJN4N9HGk_6YARkM1cAK3o15A,N/A,"point_of_interest, establishment"
University of California Transfer Student Center,"525 UCEN Road, Isla Vista",,OPERATIONAL,ChIJNdMD7XE_6YARErWtFWRckhE,http://transfercenter.ucsb.edu/,"point_of_interest, establishment"
Newman House Co-op,"6503 Madrid Road, Isla Vista",4.7,OPERATIONAL,ChIJNV0KIWk_6YARm-D4PseWJW4,http://sbcoop.org/?q=node/24,"point_of_interest, establishment"
Island View Outfitters,"6565 Trigo Road Suite A, Goleta",4.8,OPERATIONAL,ChIJWX850Gk_6YARjtsOrY8id6o,http://islandviewoutfitters.com/,"clothing_store, point_of_interest, store, establishment"
Rosarito Mexican Grill,"966 Embarcadero del Mar STE B, Isla Vista",4.0,CLOSED_TEMPORARILY,ChIJeaKRNWg_6YARIBjwKvsw1JQ,https://www.facebook.com/profile.php?id=61550946276396,"restaurant, point_of_interest, food, establishment"
"Isla Vista Medical Clinic: Polly Baldwin, MD","970 Embarcadero del Mar # C, Goleta",5.0,OPERATIONAL,ChIJRW4ds2k_6YAR7djOdj1k5hs,N/A,"doctor, point_of_interest, health, establishment"
Women's Center,"Student Resource Building, 1220 7190, Santa Barbara",,OPERATIONAL,ChIJM_4v1G4_6YARo31ELDGPoxU,http://wgse.sa.ucsb.edu/WomensCenter,"point_of_interest, establishment"
Mindpath College Health - Isla Vista,"948 Embarcadero del Norte #102, Isla Vista",4.6,OPERATIONAL,ChIJs0WXi2c_6YAROFDEk8nTHpA,https://college.mindpath.com/locations/california/isla-vista/,"doctor, point_of_interest, health, establishment"
"Dr. Stephen A. Daniels, MD","970 Embarcadero del Mar, Isla Vista",,OPERATIONAL,ChIJRW4ds2k_6YARl4eC2TrYi1U,http://doctors.cottagehealth.org/,"doctor, point_of_interest, health, establishment"
Dr. Charles C Fenzi MD,"970 Embarcadero del Mar, Isla Vista",,OPERATIONAL,ChIJ_dHlsmk_6YARVUeoRF7ILL8,N/A,"doctor, point_of_interest, health, establishment"
Office of International Students and Scholars,"Room 3130, Student Resource Building, University of California, Santa Barbara, Santa Barbara",3.0,OPERATIONAL,ChIJJ7xH1W4_6YAR9UUEzL5SnBg,https://oiss.ucsb.edu/,"point_of_interest, establishment"
Santa Barbara,Santa Barbara,,,ChIJ1YMtb8cU6YARSHa612Q60cg,http://www.santabarbaraca.gov/,"locality, political"
UCSB Campus Point Rental Center,"Reef/Aquarium, Santa Barbara",4.3,OPERATIONAL,ChIJEYQNfXs_6YARUr7c4iCDNso,https://recreation.ucsb.edu/adventure-programs/outdoor-gear-rentals,"point_of_interest, establishment"
UCSB Marine Operations Facility,"End of, 465, 9620 Lagoon Road, Santa Barbara",4.7,OPERATIONAL,ChIJvyhH0ww_6YARSc5P9DauAuY,https://www.marineops.ucsb.edu/,"university, point_of_interest, establishment"
The reef at UCSB,"Reef/Aquarium, Santa Barbara",,OPERATIONAL,ChIJn9IqZwA_6YARUVKBrX0FO10,https://msi.ucsb.edu/facilities-services/reef,"aquarium, point_of_interest, establishment"
UCSB Marine Biotech Lab,"555 Lagoon Road, Santa Barbara",,OPERATIONAL,ChIJxRuLMnM_6YARW80ceinRkLc,N/A,"school, point_of_interest, establishment"
Marine Biotechnology Center,"University of California, Santa Barbara",4.5,OPERATIONAL,ChIJu_VFSi8_6YARvMMV6Q4nab8,N/A,"point_of_interest, establishment"
Campus Point State Marine Conservation Area,,,,ChIJeSdHeu846YARXShUX7z3EvA,http://www.dfg.ca.gov/marine/mpa/title14section632.asp#Section-632-b-99,"park, premise, point_of_interest, establishment"
University of California-Santa Barbara,University of California-Santa Barbara,,,ChIJk1ciSV0_6YARvdRIWKOdtX0,N/A,"locality, political"
Santa Barbara,Santa Barbara,,,ChIJ1YMtb8cU6YARSHa612Q60cg,http://www.santabarbaraca.gov/,"locality, political"
Santa Barbara,Santa Barbara,,,ChIJ1YMtb8cU6YARSHa612Q60cg,http://www.santabarbaraca.gov/,"locality, political"
Santa Barbara,Santa Barbara,,,ChIJ1YMtb8cU6YARSHa612Q60cg,http://www.santabarbaraca.gov/,"locality, political"
Courtyard Santa Barbara Goleta,"401 Storke Road, Goleta",4.4,OPERATIONAL,ChIJbWHxpKhA6YAR-fspUyGcTjY,https://www.marriott.com/en-us/hotels/sbacy-courtyard-santa-barbara-goleta/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"lodging, point_of_interest, establishment"
The Home Depot,"6975 Market Place Drive, Goleta",3.7,OPERATIONAL,ChIJ9xEfOK9A6YAR8IpxoWiyc-Q,https://www.homedepot.com/l/Goleta/CA/Goleta/93117/6623?emt=MSGMBGoogleMaps,"hardware_store, furniture_store, home_goods_store, store, point_of_interest, establishment"
"LEAP: Learn, Engage, Advocate, Partner","Ucsb Campus, 701, 701 Ucsb Campus, Goleta",,OPERATIONAL,ChIJ_f-_KnA_6YARSrFoRQWQmTU,http://leapcentralcoast.org/,"health, point_of_interest, establishment"
Redbox,"7127 Hollister Avenue #27, Goleta",5.0,OPERATIONAL,ChIJxW3i761A6YARWvJmQXAKyCI,https://www.redbox.com/locations/california/goleta/93117/8879,"movie_rental, store, point_of_interest, establishment"
Camino Real Marketplace,"7004 Market Place Drive, Goleta",4.5,OPERATIONAL,ChIJtzLYsq9A6YARTQ8M-KbO-Fw,http://www.caminorealmarketplace.net/,"shopping_mall, point_of_interest, establishment"
The UPS Store,"7127 Hollister Avenue #25a, Goleta",4.0,OPERATIONAL,ChIJxW3i761A6YAR5b7eAcFSDlk,https://locations.theupsstore.com/ca/goleta/7127-hollister-ave?utm_source=Yext&utm_medium=organic&utm_campaign=Listings,"finance, store, point_of_interest, establishment"
Serenity Limousines,"7127 Hollister Avenue, Goleta",,OPERATIONAL,ChIJH7_feXcU6YARSuqYG2bhAHA,N/A,"point_of_interest, establishment"
Costco Hearing Center,"7095 Market Place Drive, Goleta",5.0,OPERATIONAL,ChIJ3-PcaK5A6YARqzNXOF_e2CA,https://www.costco.com/hearing-aid-center.html,"health, store, point_of_interest, establishment"
"Bream Optometry, Goleta","7095 Market Place Drive, Goleta",4.9,OPERATIONAL,ChIJ3-PcaK5A6YARzYvci47r82E,http://www.breamoptometry.com/,"health, point_of_interest, establishment"
Metropolitan Camino Real Cinemas,"7040 Market Place Drive, Goleta",4.3,OPERATIONAL,ChIJtzLYsq9A6YARn1mIoo_DubU,https://www.metrotheatres.com/goleta/camino-real-cinemas/showtimes/,"movie_theater, point_of_interest, establishment"
"University of California, Santa Barbara",Santa Barbara,4.6,OPERATIONAL,ChIJN0sx82c_6YARws62XH5rlU4,http://www.ucsb.edu/,"university, point_of_interest, establishment"
Land Division,"7127 Hollister Avenue # 3, Goleta",,OPERATIONAL,ChIJxW3i761A6YAR870Xy9YNZ3s,N/A,"local_government_office, point_of_interest, establishment"
